PLATE_NO,ROLLING_DATE,SCALE,SPEC,STEEL_KIND,PT_THK,PT_WDTH,PT_LTH,PT_WGT,FUR_NO,FUR_NO_ROW,FUR_HZ_TEMP,FUR_HZ_TIME,FUR_SZ_TEMP,FUR_SZ_TIME,FUR_TIME,ROLLING_TEMP_T5,HSB,ROLLING_DESCALING,WORK_GR,Vol
PB563192,2008-08-01:19:94:11,0,BV-EH36-TM,T8,38.33,3099,16740,15610,1호기,2,1124,70,1116,80,265,879,1,8,4조,7.850314465176141
PB563193,2008-08-01:19:94:56,0,BV-EH36-TM,T8,38.33,3099,16740,15610,2호기,1,1117,53,1123,90,266,873,1,8,2조,7.850314465176141
PB563194,2008-08-01:19:95:17,0,BV-EH36-TM,T8,38.33,3099,16740,15610,2호기,2,1157,61,1124,88,256,881,1,8,4조,7.850314465176141
PB563195,2008-08-01:19:95:14,0,BV-EH36-TM,T8,38.33,3099,16740,15610,3호기,1,1149,69,1138,95,269,880,1,8,3조,7.850314465176141
PB563196,2008-08-01:19:95:44,0,BV-EH36-TM,T8,38.33,3099,16740,15610,3호기,2,1150,64,1140,95,271,871,1,8,3조,7.850314465176141
PB563197,2008-08-01:20:00:16,0,BV-EH36-TM,T8,38.33,3099,16740,15610,1호기,1,1151,66,1129,89,271,873,1,8,2조,7.850314465176141
PB563198,2008-08-01:20:00:49,0,BV-EH36-TM,T8,38.33,3099,16740,15610,1호기,2,1126,73,1118,89,270,868,1,8,4조,7.850314465176141
PB563199,2008-08-01:20:01:07,0,BV-EH36-TM,T8,38.33,3099,16740,15610,2호기,1,1155,71,1127,87,265,875,1,8,1조,7.850314465176141
PB563200,2008-08-01:20:01:15,0,BV-EH36-TM,T8,38.33,3098,13334,12430,2호기,2,1151,61,1122,105,273,880,1,8,2조,7.850375765943679
PB563201,2008-08-01:20:01:53,0,COMMON,T8,38.43,3129,16187,15280,3호기,1,1132,63,1134,109,280,876,1,8,2조,7.850205756776859
PB563202,2008-08-01:20:02:58,1,NV-A32-TM,T0,40.35,2772,25978,45620,3호기,2,1164,77,1136,90,278,897,1,5,4조,15.700475426048195
PB563203,2008-08-01:20:02:10,0,NV-A32-TM,T0,40.35,2772,25978,45620,3호기,1,1171,67,1139,94,276,897,1,6,1조,15.700475426048195
PB563204,2008-08-01:20:03:22,0,GL-A36-TM,T7,40.35,2481,22663,35620,1호기,2,1124,63,1121,107,269,815,1,6,1조,15.7002371714389
PB563205,2008-08-01:20:04:03,0,GL-A36-TM,T7,40.35,2481,22663,35620,2호기,1,1162,85,1126,93,278,802,1,6,1조,15.7002371714389
PB563206,2008-08-01:20:04:50,0,GL-A36-TM,T7,40.35,2481,22663,35620,3호기,2,1169,87,1138,83,286,805,1,6,3조,15.7002371714389
PB563207,2008-08-01:20:05:43,0,GL-A36-TM,T7,40.35,2481,22663,35620,1호기,2,1138,65,1125,108,283,817,1,6,2조,15.7002371714389
PB563208,2008-08-01:20:05:10,0,NV-D32-TM,T0,40.34,2132,26513,35800,3호기,1,1173,92,1138,80,291,895,1,6,4조,15.700050906753733
PB563209,2008-08-01:21:10:48,0,GL-A36-TM,T7,40.35,3081,23209,22650,3호기,2,1162,74,1136,101,289,813,1,6,2조,7.850124425883613
PB563210,2008-08-01:21:10:37,0,NK-KD36-TM,T7,40.35,2751,23376,61110,1호기,1,1156,77,1128,126,304,816,1,6,2조,23.550924255779627
PB563211,2008-08-01:21:11:20,0,NK-KD36-TM,T7,40.35,2641,23358,58620,2호기,2,1166,69,1118,141,308,818,1,6,2조,23.55039630073576
PB563212,2008-08-01:21:12:39,1,GL-D36-TM,T7,40.35,2517,25612,40840,2호기,1,1149,73,1119,131,306,818,0,6,1조,15.70057239159265
PB563213,2008-08-01:21:12:23,0,GL-D36-TM,T7,40.35,2517,25612,40840,1호기,1,1172,89,1135,113,299,816,1,6,1조,15.70057239159265
PB563214,2008-08-01:21:12:16,0,GL-A36-TM,T7,40.35,3081,23209,67950,3호기,1,1174,104,1134,85,307,819,1,6,2조,23.550373277650838
PB563215,2008-08-01:21:13:39,0,GL-A36-TM,T7,40.35,3081,23209,67950,3호기,2,1159,87,1131,106,304,816,1,6,1조,23.550373277650838
PB563216,2008-08-01:21:14:11,0,GL-D36-TM,T7,40.35,2517,25612,40840,1호기,2,1135,75,1120,130,320,817,1,6,4조,15.70057239159265
PB563217,2008-08-01:21:14:53,0,GL-D36-TM,T7,40.35,2517,25612,40840,2호기,1,1151,93,1121,127,327,817,1,6,2조,15.70057239159265
PB563218,2008-08-01:21:15:56,0,GL-A36-TM,T7,40.35,2511,22669,36060,2호기,2,1174,91,1118,135,339,815,1,6,4조,15.700124927363484
PB563219,2008-08-01:22:20:26,0,NV-D36-TM,T7,44.39,2245,22766,17810,1호기,2,1149,82,1126,123,320,816,1,6,3조,7.850109190697094
PB563220,2008-08-01:22:21:58,1,GL-D36-TM,T7,40.35,2518,28599,22810,3호기,1,1162,116,1124,98,320,1033,0,6,1조,7.850099703219815
PB563221,2008-08-01:22:22:43,0,GL-A32-TM,T0,40.35,3145,18691,37240,3호기,2,1161,100,1120,136,341,894,1,6,1조,15.700480577829222
PB563222,2008-08-01:22:21:01,0,GL-A36-TM,T7,40.35,2511,22669,36060,1호기,1,1178,90,1127,138,333,745,1,6,3조,15.700124927363484
PB563223,2008-08-01:22:22:39,0,PILAC-BT33,T5,40.0,2465,16911,26180,2호기,1,1165,112,1122,135,351,910,1,6,2조,15.700859876962353
PB563224,2008-08-01:22:22:14,0,PILAC-BT33,T5,40.0,1800,18878,21340,2호기,2,1170,105,1117,135,344,906,1,6,1조,15.700227189791763
PB563225,2008-08-01:22:23:12,0,PILAC-BT33,T5,50.45,1800,24871,35460,1호기,2,1169,111,1129,122,334,891,1,6,1조,15.700439440954373
PB563226,2008-08-01:22:24:07,0,GL-D36-TM,T7,40.35,2518,28599,22810,3호기,1,1151,100,1128,128,339,816,1,6,2조,7.850099703219815
PB563227,2008-08-01:22:24:14,1,NV-D36-TM,T7,40.35,2302,25536,18620,3호기,2,1161,105,1125,122,340,820,1,5,1조,7.850149879547301
